n,m,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,best,avg,worst
1000,10000,15,9,8,9,7,6,5,5,4,4,4,7,15
1000,15000,8,7,6,6,13,9,6,6,6,11,6,7,13
1000,25000,8,10,8,10,16,16,17,16,16,16,8,13,17
5000,15000,16,31,16,16,31,16,32,31,16,32,16,23,32
5000,25000,47,57,47,47,32,47,31,47,63,47,31,46,63
10000,1500,16,0,0,15,0,0,0,0,0,16,0,4,16
10000,25000,63,62,63,78,63,78,62,62,63,63,62,65,78
20000,200000,1578,1438,1422,1656,1627,1609,1406,1796,1850,1656,1406,1603,1850
20000,300000,2327,2204,1547,2266,1781,2289,2297,1658,1500,1473,1473,1934,2327
50000,1000000,18344,17322,18371,13791,15780,13577,15953,13782,18077,15843,13577,16084,18371
